        // -------------------------------------
        // Aeon Disk
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_aeon_disk_2"            "Aeon Disk 2"
        "DOTA_Tooltip_ability_item_aeon_disk_2_Description"            "<h1>Passive: Combo Breaker</h1> When you take damage and your health falls below %health_threshold_pct%%, a strong dispel is applied and you gain a %buff_duration% second buff that provides +%status_resistance%%% Status Resistance and causes all damage you deal and are dealt to be reduced to zero. Only triggers on player based damage."
        "DOTA_Tooltip_ability_item_aeon_disk_2_Lore"            "A powerful artifact long ago smuggled out of the Ivory Incubarium. Or so many believe."
        "DOTA_Tooltip_ability_item_aeon_disk_2_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_aeon_disk_2_bonus_mana"            "+$mana"
        "DOTA_Tooltip_modifier_item_aeon_disk_2_buff"            "Combo Breaker"
        "DOTA_Tooltip_modifier_item_aeon_disk_2_buff_Description"            "All incoming and outgoing damage negated."

        "DOTA_Tooltip_Ability_item_aeon_disk_3"            "Aeon Disk 3"
        "DOTA_Tooltip_ability_item_aeon_disk_3_Description"            "<h1>Passive: Combo Breaker</h1> When you take damage and your health falls below %health_threshold_pct%%, a strong dispel is applied and you gain a %buff_duration% second buff that provides +%status_resistance%%% Status Resistance and causes all damage you deal and are dealt to be reduced to zero. Only triggers on player based damage."
        "DOTA_Tooltip_ability_item_aeon_disk_3_Lore"            "A powerful artifact long ago smuggled out of the Ivory Incubarium. Or so many believe."
        "DOTA_Tooltip_ability_item_aeon_disk_3_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_aeon_disk_3_bonus_mana"            "+$mana"
        "DOTA_Tooltip_modifier_item_aeon_disk_3_buff"            "Combo Breaker"
        "DOTA_Tooltip_modifier_item_aeon_disk_3_buff_Description"            "All incoming and outgoing damage negated."

        "DOTA_Tooltip_Ability_item_aeon_disk_4"            "Aeon Disk 4"
        "DOTA_Tooltip_ability_item_aeon_disk_4_Description"            "<h1>Passive: Combo Breaker</h1> When you take damage and your health falls below %health_threshold_pct%%, a strong dispel is applied and you gain a %buff_duration% second buff that provides +%status_resistance%%% Status Resistance and causes all damage you deal and are dealt to be reduced to zero. Only triggers on player based damage."
        "DOTA_Tooltip_ability_item_aeon_disk_4_Lore"            "A powerful artifact long ago smuggled out of the Ivory Incubarium. Or so many believe."
        "DOTA_Tooltip_ability_item_aeon_disk_4_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_aeon_disk_4_bonus_mana"            "+$mana"
        "DOTA_Tooltip_modifier_item_aeon_disk_4_buff"            "Combo Breaker"
        "DOTA_Tooltip_modifier_item_aeon_disk_4_buff_Description"            "All incoming and outgoing damage negated."

        "DOTA_Tooltip_Ability_item_aeon_disk_5"            "Aeon Disk 5"
        "DOTA_Tooltip_ability_item_aeon_disk_5_Description"            "<h1>Passive: Combo Breaker</h1> When you take damage and your health falls below %health_threshold_pct%%, a strong dispel is applied and you gain a %buff_duration% second buff that provides +%status_resistance%%% Status Resistance and causes all damage you deal and are dealt to be reduced to zero. Only triggers on player based damage."
        "DOTA_Tooltip_ability_item_aeon_disk_5_Lore"            "A powerful artifact long ago smuggled out of the Ivory Incubarium. Or so many believe."
        "DOTA_Tooltip_ability_item_aeon_disk_5_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_aeon_disk_5_bonus_mana"            "+$mana"
        "DOTA_Tooltip_modifier_item_aeon_disk_5_buff"            "Combo Breaker"
        "DOTA_Tooltip_modifier_item_aeon_disk_5_buff_Description"            "All incoming and outgoing damage negated."

        "DOTA_Tooltip_Ability_item_aeon_disk_6"            "Aeon Disk 6"
