        // -------------------------------------
        // Bloodstone
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_bloodstone_2"            "Bloodstone 2"
        "DOTA_Tooltip_ability_item_bloodstone_2_Description"            "<h1>Active: Bloodpact</h1> Converts %mana_cost_percentage%%% of your current mana to health regeneration over %restore_duration% seconds.\n <h1>Passive: Mana Battery</h1>Each charge provides %regen_per_charge% HP and MP regen. Nearby kills provide %kill_charges% charges. Dying causes you to lose %death_charges% charges. Starts with %initial_charges_tooltip% charges."
        "DOTA_Tooltip_ability_item_bloodstone_2_Lore"            "The Bloodstone's bright ruby color is unmistakable on the battlefield, as the owner seems to have infinite vitality and spirit."
        "DOTA_Tooltip_ability_item_bloodstone_2_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_bloodstone_2_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_bloodstone_2_bonus_health_regen"            "+$health_regen"
        "DOTA_Tooltip_ability_item_bloodstone_2_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_bloodstone_2_mana_regen_multiplier"            "%+Mana Regeneration"
        "DOTA_Tooltip_modifier_item_bloodstone_2_active"            "Bloodpact"
        "DOTA_Tooltip_modifier_item_bloodstone_2_active_Description"            "Quickly regenerating health!"

        "DOTA_Tooltip_Ability_item_bloodstone_3"            "Bloodstone 3"
        "DOTA_Tooltip_ability_item_bloodstone_3_Description"            "<h1>Active: Bloodpact</h1> Converts %mana_cost_percentage%%% of your current mana to health regeneration over %restore_duration% seconds.\n <h1>Passive: Mana Battery</h1>Each charge provides %regen_per_charge% HP and MP regen. Nearby kills provide %kill_charges% charges. Dying causes you to lose %death_charges% charges. Starts with %initial_charges_tooltip% charges."
        "DOTA_Tooltip_ability_item_bloodstone_3_Lore"            "The Bloodstone's bright ruby color is unmistakable on the battlefield, as the owner seems to have infinite vitality and spirit."
        "DOTA_Tooltip_ability_item_bloodstone_3_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_bloodstone_3_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_bloodstone_3_bonus_health_regen"            "+$health_regen"
        "DOTA_Tooltip_ability_item_bloodstone_3_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_bloodstone_3_mana_regen_multiplier"            "%+Mana Regeneration"
        "DOTA_Tooltip_modifier_item_bloodstone_3_active"            "Bloodpact"
        "DOTA_Tooltip_modifier_item_bloodstone_3_active_Description"            "Quickly regenerating health!"

        "DOTA_Tooltip_Ability_item_bloodstone_4"            "Bloodstone 4"
        "DOTA_Tooltip_ability_item_bloodstone_4_Description"            "<h1>Active: Bloodpact</h1> Converts %mana_cost_percentage%%% of your current mana to health regeneration over %restore_duration% seconds.\n <h1>Passive: Mana Battery</h1>Each charge provides %regen_per_charge% HP and MP regen. Nearby kills provide %kill_charges% charges. Dying causes you to lose %death_charges% charges. Starts with %initial_charges_tooltip% charges."
        "DOTA_Tooltip_ability_item_bloodstone_4_Lore"            "The Bloodstone's bright ruby color is unmistakable on the battlefield, as the owner seems to have infinite vitality and spirit."
        "DOTA_Tooltip_ability_item_bloodstone_4_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_bloodstone_4_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_bloodstone_4_bonus_health_regen"            "+$health_regen"
        "DOTA_Tooltip_ability_item_bloodstone_4_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_bloodstone_4_mana_regen_multiplier"            "%+Mana Regeneration"
        "DOTA_Tooltip_modifier_item_bloodstone_4_active"            "Bloodpact"
        "DOTA_Tooltip_modifier_item_bloodstone_4_active_Description"            "Quickly regenerating health!"

        "DOTA_Tooltip_Ability_item_bloodstone_5"            "Bloodstone 5"
        "DOTA_Tooltip_ability_item_bloodstone_5_Description"            "<h1>Active: Bloodpact</h1> Converts %mana_cost_percentage%%% of your current mana to health regeneration over %restore_duration% seconds.\n <h1>Passive: Mana Battery</h1>Each charge provides %regen_per_charge% HP and MP regen. Nearby kills provide %kill_charges% charges. Dying causes you to lose %death_charges% charges. Starts with %initial_charges_tooltip% charges."
