        // -------------------------------------
        // Butterfly
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_butterfly_2"            "Butterfly 2"
        "DOTA_Tooltip_ability_item_butterfly_2_Note0"            "Stacks diminishingly with other sources of Evasion."
        "DOTA_Tooltip_ability_item_butterfly_2_Lore"            "Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
        "DOTA_Tooltip_ability_item_butterfly_2_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_butterfly_2_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_butterfly_2_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_butterfly_2_bonus_attack_speed"            "+$attack"

        "DOTA_Tooltip_Ability_item_butterfly_3"            "Butterfly 3"
        "DOTA_Tooltip_ability_item_butterfly_3_Note0"            "Stacks diminishingly with other sources of Evasion."
        "DOTA_Tooltip_ability_item_butterfly_3_Lore"            "Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
        "DOTA_Tooltip_ability_item_butterfly_3_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_butterfly_3_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_butterfly_3_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_butterfly_3_bonus_attack_speed"            "+$attack"

        "DOTA_Tooltip_Ability_item_butterfly_4"            "Butterfly 4"
        "DOTA_Tooltip_ability_item_butterfly_4_Note0"            "Stacks diminishingly with other sources of Evasion."
        "DOTA_Tooltip_ability_item_butterfly_4_Lore"            "Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
        "DOTA_Tooltip_ability_item_butterfly_4_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_butterfly_4_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_butterfly_4_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_butterfly_4_bonus_attack_speed"            "+$attack"

        "DOTA_Tooltip_Ability_item_butterfly_5"            "Butterfly 5"
        "DOTA_Tooltip_ability_item_butterfly_5_Note0"            "Stacks diminishingly with other sources of Evasion."
        "DOTA_Tooltip_ability_item_butterfly_5_Lore"            "Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
        "DOTA_Tooltip_ability_item_butterfly_5_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_butterfly_5_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_butterfly_5_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_butterfly_5_bonus_attack_speed"            "+$attack"

        "DOTA_Tooltip_Ability_item_butterfly_6"            "Butterfly 6"
        "DOTA_Tooltip_ability_item_butterfly_6_Note0"            "Stacks diminishingly with other sources of Evasion."
        "DOTA_Tooltip_ability_item_butterfly_6_Lore"            "Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
        "DOTA_Tooltip_ability_item_butterfly_6_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_butterfly_6_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_butterfly_6_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_butterfly_6_bonus_attack_speed"            "+$attack"

        "DOTA_Tooltip_Ability_item_butterfly_7"            "Butterfly 7"
        "DOTA_Tooltip_ability_item_butterfly_7_Note0"            "Stacks diminishingly with other sources of Evasion."
        "DOTA_Tooltip_ability_item_butterfly_7_Lore"            "Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
        "DOTA_Tooltip_ability_item_butterfly_7_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_butterfly_7_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_butterfly_7_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_butterfly_7_bonus_attack_speed"            "+$attack"

        "DOTA_Tooltip_Ability_item_butterfly_8"            "Butterfly 8"
        "DOTA_Tooltip_ability_item_butterfly_8_Note0"            "Stacks diminishingly with other sources of Evasion."
        "DOTA_Tooltip_ability_item_butterfly_8_Lore"            "Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
        "DOTA_Tooltip_ability_item_butterfly_8_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_butterfly_8_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_butterfly_8_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_butterfly_8_bonus_attack_speed"            "+$attack"

        "DOTA_Tooltip_Ability_item_butterfly_9"            "Butterfly 9"
        "DOTA_Tooltip_ability_item_butterfly_9_Note0"            "Stacks diminishingly with other sources of Evasion."
        "DOTA_Tooltip_ability_item_butterfly_9_Lore"            "Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
        "DOTA_Tooltip_ability_item_butterfly_9_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_butterfly_9_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_butterfly_9_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_butterfly_9_bonus_attack_speed"            "+$attack"

        "DOTA_Tooltip_Ability_item_butterfly_10"            "Butterfly 10"
        "DOTA_Tooltip_ability_item_butterfly_10_Note0"            "Stacks diminishingly with other sources of Evasion."
        "DOTA_Tooltip_ability_item_butterfly_10_Lore"            "Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
        "DOTA_Tooltip_ability_item_butterfly_10_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_butterfly_10_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_butterfly_10_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_butterfly_10_bonus_attack_speed"            "+$attack"

