        // -------------------------------------
        // Crimson Guard
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_crimson_guard_2"            "Crimson Guard 2"
        "DOTA_Tooltip_ability_item_crimson_guard_2_Description"            "<h1>Active: Guard</h1> For %duration% seconds, grant nearby allied heroes and buildings a %block_chance_active%%% chance to block %block_damage_melee_active% damage from each incoming attack.<br><br>Units may only be affected by Guard once every %tooltip_reapply_time% seconds.<br><br>Radius: %bonus_aoe_radius%\n<h1>Passive: Damage Block</h1> Grants a %block_chance%%% chance to block %block_damage_melee% damage from incoming attacks on melee heroes, and %block_damage_ranged% damage on ranged."
        "DOTA_Tooltip_ability_item_crimson_guard_2_Lore"            "A cuirass originally built to protect against the dreaded Year Beast."
        "DOTA_Tooltip_ability_item_crimson_guard_2_Note0"            "Multiple sources of damage block do not stack."
        "DOTA_Tooltip_ability_item_crimson_guard_2_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_crimson_guard_2_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_crimson_guard_2_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_crimson_guard_2_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_crimson_guard_2_effect"            "Crimson Guard 2 Armor Bonus"
        "DOTA_Tooltip_modifier_item_crimson_guard_2_effect_Description"            "Armor increased by %MODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
        "DOTA_Tooltip_modifier_item_crimson_guard_2_extra"            "Guard"
        "DOTA_Tooltip_modifier_item_crimson_guard_2_extra_Description"            "Gained %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE_ACTIVE% armor, and a 100%% chance to block %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% damage from incoming attacks."
        "DOTA_Tooltip_modifier_item_crimson_guard_2_nostack"            "Guard Cooldown"
        "DOTA_Tooltip_modifier_item_crimson_guard_2_nostack_Description"            "Guard will not affect a unit that has recently been protected by Guard."

        "DOTA_Tooltip_Ability_item_crimson_guard_3"            "Crimson Guard 3"
        "DOTA_Tooltip_ability_item_crimson_guard_3_Description"            "<h1>Active: Guard</h1> For %duration% seconds, grant nearby allied heroes and buildings a %block_chance_active%%% chance to block %block_damage_melee_active% damage from each incoming attack.<br><br>Units may only be affected by Guard once every %tooltip_reapply_time% seconds.<br><br>Radius: %bonus_aoe_radius%\n<h1>Passive: Damage Block</h1> Grants a %block_chance%%% chance to block %block_damage_melee% damage from incoming attacks on melee heroes, and %block_damage_ranged% damage on ranged."
        "DOTA_Tooltip_ability_item_crimson_guard_3_Lore"            "A cuirass originally built to protect against the dreaded Year Beast."
        "DOTA_Tooltip_ability_item_crimson_guard_3_Note0"            "Multiple sources of damage block do not stack."
        "DOTA_Tooltip_ability_item_crimson_guard_3_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_crimson_guard_3_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_crimson_guard_3_bonus_armor"            "+$armor"
