        // -------------------------------------
        // Echo Sabre
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_echo_sabre_2"            "Echo Sabre 2"
        "DOTA_Tooltip_ability_item_echo_sabre_2_Description"            "<h1>Passive: Echo Strike</h1> Causes melee attacks to attack twice in quick succession. The double attacks apply a %movement_slow%%% movement slow for %slow_duration% seconds on each strike."
        "DOTA_Tooltip_ability_item_echo_sabre_2_Lore"            "A deceptively swift blade imbued with resonant magic."
        "DOTA_Tooltip_ability_item_echo_sabre_2_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_echo_sabre_2_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_echo_sabre_2_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_echo_sabre_2_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_echo_sabre_2_bonus_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_echo_sabre_3"            "Echo Sabre 3"
        "DOTA_Tooltip_ability_item_echo_sabre_3_Description"            "<h1>Passive: Echo Strike</h1> Causes melee attacks to attack twice in quick succession. The double attacks apply a %movement_slow%%% movement slow for %slow_duration% seconds on each strike."
        "DOTA_Tooltip_ability_item_echo_sabre_3_Lore"            "A deceptively swift blade imbued with resonant magic."
        "DOTA_Tooltip_ability_item_echo_sabre_3_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_echo_sabre_3_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_echo_sabre_3_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_echo_sabre_3_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_echo_sabre_3_bonus_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_echo_sabre_4"            "Echo Sabre 4"
        "DOTA_Tooltip_ability_item_echo_sabre_4_Description"            "<h1>Passive: Echo Strike</h1> Causes melee attacks to attack twice in quick succession. The double attacks apply a %movement_slow%%% movement slow for %slow_duration% seconds on each strike."
        "DOTA_Tooltip_ability_item_echo_sabre_4_Lore"            "A deceptively swift blade imbued with resonant magic."
        "DOTA_Tooltip_ability_item_echo_sabre_4_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_echo_sabre_4_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_echo_sabre_4_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_echo_sabre_4_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_echo_sabre_4_bonus_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_echo_sabre_5"            "Echo Sabre 5"
        "DOTA_Tooltip_ability_item_echo_sabre_5_Description"            "<h1>Passive: Echo Strike</h1> Causes melee attacks to attack twice in quick succession. The double attacks apply a %movement_slow%%% movement slow for %slow_duration% seconds on each strike."
        "DOTA_Tooltip_ability_item_echo_sabre_5_Lore"            "A deceptively swift blade imbued with resonant magic."
        "DOTA_Tooltip_ability_item_echo_sabre_5_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_echo_sabre_5_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_echo_sabre_5_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_echo_sabre_5_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_echo_sabre_5_bonus_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_echo_sabre_6"            "Echo Sabre 6"
        "DOTA_Tooltip_ability_item_echo_sabre_6_Description"            "<h1>Passive: Echo Strike</h1> Causes melee attacks to attack twice in quick succession. The double attacks apply a %movement_slow%%% movement slow for %slow_duration% seconds on each strike."
        "DOTA_Tooltip_ability_item_echo_sabre_6_Lore"            "A deceptively swift blade imbued with resonant magic."
        "DOTA_Tooltip_ability_item_echo_sabre_6_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_echo_sabre_6_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_echo_sabre_6_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_echo_sabre_6_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_echo_sabre_6_bonus_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_echo_sabre_7"            "Echo Sabre 7"
        "DOTA_Tooltip_ability_item_echo_sabre_7_Description"            "<h1>Passive: Echo Strike</h1> Causes melee attacks to attack twice in quick succession. The double attacks apply a %movement_slow%%% movement slow for %slow_duration% seconds on each strike."
        "DOTA_Tooltip_ability_item_echo_sabre_7_Lore"            "A deceptively swift blade imbued with resonant magic."
        "DOTA_Tooltip_ability_item_echo_sabre_7_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_echo_sabre_7_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_echo_sabre_7_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_echo_sabre_7_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_echo_sabre_7_bonus_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_echo_sabre_8"            "Echo Sabre 8"
        "DOTA_Tooltip_ability_item_echo_sabre_8_Description"            "<h1>Passive: Echo Strike</h1> Causes melee attacks to attack twice in quick succession. The double attacks apply a %movement_slow%%% movement slow for %slow_duration% seconds on each strike."
        "DOTA_Tooltip_ability_item_echo_sabre_8_Lore"            "A deceptively swift blade imbued with resonant magic."
        "DOTA_Tooltip_ability_item_echo_sabre_8_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_echo_sabre_8_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_echo_sabre_8_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_echo_sabre_8_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_echo_sabre_8_bonus_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_echo_sabre_9"            "Echo Sabre 9"
        "DOTA_Tooltip_ability_item_echo_sabre_9_Description"            "<h1>Passive: Echo Strike</h1> Causes melee attacks to attack twice in quick succession. The double attacks apply a %movement_slow%%% movement slow for %slow_duration% seconds on each strike."
        "DOTA_Tooltip_ability_item_echo_sabre_9_Lore"            "A deceptively swift blade imbued with resonant magic."
        "DOTA_Tooltip_ability_item_echo_sabre_9_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_echo_sabre_9_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_echo_sabre_9_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_echo_sabre_9_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_echo_sabre_9_bonus_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_echo_sabre_10"            "Echo Sabre 10"
        "DOTA_Tooltip_ability_item_echo_sabre_10_Description"            "<h1>Passive: Echo Strike</h1> Causes melee attacks to attack twice in quick succession. The double attacks apply a %movement_slow%%% movement slow for %slow_duration% seconds on each strike."
        "DOTA_Tooltip_ability_item_echo_sabre_10_Lore"            "A deceptively swift blade imbued with resonant magic."
        "DOTA_Tooltip_ability_item_echo_sabre_10_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_echo_sabre_10_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_echo_sabre_10_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_echo_sabre_10_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_echo_sabre_10_bonus_mana_regen"            "+$mana_regen"

