        // -------------------------------------
        // Ethereal Blade
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_ethereal_blade_2"            "Ethereal Blade 2"
        "DOTA_Tooltip_ability_item_ethereal_blade_2_Description"            "<h1>Active: Ether Blast</h1>Converts the target unit to ethereal form, rendering them immune to physical damage, but unable to attack and %ethereal_damage_bonus%%% more vulnerable to magic damage.  Lasts for %duration_ally% seconds on allies and %duration% seconds on enemies.<br><br>  Enemy targets are also slowed by %blast_movement_slow%%%, and take %blast_agility_multiplier%x your primary attribute + %blast_damage_base% as magical damage.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_ethereal_blade_2_Note0"            "Ethereal units take %ethereal_damage_bonus%%  bonus magic damage."
        "DOTA_Tooltip_ability_item_ethereal_blade_2_Note1"            "Using a Town Portal Scroll or Boots of Travel will not dispel Ethereal Form."
        "DOTA_Tooltip_ability_item_ethereal_blade_2_Lore"            "A flickering blade of a ghastly nature, it is capable of dealing damage in both magical and physical planes."
        "DOTA_Tooltip_ability_item_ethereal_blade_2_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_ethereal_blade_2_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_ethereal_blade_2_bonus_intellect"            "+$int"
        "DOTA_Tooltip_modifier_item_ethereal_blade_2_ethereal"            "Ether Blast"
        "DOTA_Tooltip_modifier_item_ethereal_blade_2_ethereal_Description"            "Ethereal Form. Taking %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% increased magic damage and cannot attack or be attacked."
        "DOTA_Tooltip_modifier_item_ethereal_blade_2_slow"            "Ethereal Blade Slow"
        "DOTA_Tooltip_modifier_item_ethereal_blade_2_slow_Description"            "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

        "DOTA_Tooltip_Ability_item_ethereal_blade_3"            "Ethereal Blade 3"
        "DOTA_Tooltip_ability_item_ethereal_blade_3_Description"            "<h1>Active: Ether Blast</h1>Converts the target unit to ethereal form, rendering them immune to physical damage, but unable to attack and %ethereal_damage_bonus%%% more vulnerable to magic damage.  Lasts for %duration_ally% seconds on allies and %duration% seconds on enemies.<br><br>  Enemy targets are also slowed by %blast_movement_slow%%%, and take %blast_agility_multiplier%x your primary attribute + %blast_damage_base% as magical damage.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_ethereal_blade_3_Note0"            "Ethereal units take %ethereal_damage_bonus%%  bonus magic damage."
        "DOTA_Tooltip_ability_item_ethereal_blade_3_Note1"            "Using a Town Portal Scroll or Boots of Travel will not dispel Ethereal Form."
        "DOTA_Tooltip_ability_item_ethereal_blade_3_Lore"            "A flickering blade of a ghastly nature, it is capable of dealing damage in both magical and physical planes."
        "DOTA_Tooltip_ability_item_ethereal_blade_3_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_ethereal_blade_3_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_ethereal_blade_3_bonus_intellect"            "+$int"
        "DOTA_Tooltip_modifier_item_ethereal_blade_3_ethereal"            "Ether Blast"
        "DOTA_Tooltip_modifier_item_ethereal_blade_3_ethereal_Description"            "Ethereal Form. Taking %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% increased magic damage and cannot attack or be attacked."
        "DOTA_Tooltip_modifier_item_ethereal_blade_3_slow"            "Ethereal Blade Slow"
        "DOTA_Tooltip_modifier_item_ethereal_blade_3_slow_Description"            "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

        "DOTA_Tooltip_Ability_item_ethereal_blade_4"            "Ethereal Blade 4"
        "DOTA_Tooltip_ability_item_ethereal_blade_4_Description"            "<h1>Active: Ether Blast</h1>Converts the target unit to ethereal form, rendering them immune to physical damage, but unable to attack and %ethereal_damage_bonus%%% more vulnerable to magic damage.  Lasts for %duration_ally% seconds on allies and %duration% seconds on enemies.<br><br>  Enemy targets are also slowed by %blast_movement_slow%%%, and take %blast_agility_multiplier%x your primary attribute + %blast_damage_base% as magical damage.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_ethereal_blade_4_Note0"            "Ethereal units take %ethereal_damage_bonus%%  bonus magic damage."
        "DOTA_Tooltip_ability_item_ethereal_blade_4_Note1"            "Using a Town Portal Scroll or Boots of Travel will not dispel Ethereal Form."
        "DOTA_Tooltip_ability_item_ethereal_blade_4_Lore"            "A flickering blade of a ghastly nature, it is capable of dealing damage in both magical and physical planes."
        "DOTA_Tooltip_ability_item_ethereal_blade_4_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_ethereal_blade_4_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_ethereal_blade_4_bonus_intellect"            "+$int"
        "DOTA_Tooltip_modifier_item_ethereal_blade_4_ethereal"            "Ether Blast"
        "DOTA_Tooltip_modifier_item_ethereal_blade_4_ethereal_Description"            "Ethereal Form. Taking %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% increased magic damage and cannot attack or be attacked."
        "DOTA_Tooltip_modifier_item_ethereal_blade_4_slow"            "Ethereal Blade Slow"
        "DOTA_Tooltip_modifier_item_ethereal_blade_4_slow_Description"            "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

        "DOTA_Tooltip_Ability_item_ethereal_blade_5"            "Ethereal Blade 5"
        "DOTA_Tooltip_ability_item_ethereal_blade_5_Description"            "<h1>Active: Ether Blast</h1>Converts the target unit to ethereal form, rendering them immune to physical damage, but unable to attack and %ethereal_damage_bonus%%% more vulnerable to magic damage.  Lasts for %duration_ally% seconds on allies and %duration% seconds on enemies.<br><br>  Enemy targets are also slowed by %blast_movement_slow%%%, and take %blast_agility_multiplier%x your primary attribute + %blast_damage_base% as magical damage.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_ethereal_blade_5_Note0"            "Ethereal units take %ethereal_damage_bonus%%  bonus magic damage."
        "DOTA_Tooltip_ability_item_ethereal_blade_5_Note1"            "Using a Town Portal Scroll or Boots of Travel will not dispel Ethereal Form."
        "DOTA_Tooltip_ability_item_ethereal_blade_5_Lore"            "A flickering blade of a ghastly nature, it is capable of dealing damage in both magical and physical planes."
        "DOTA_Tooltip_ability_item_ethereal_blade_5_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_ethereal_blade_5_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_ethereal_blade_5_bonus_intellect"            "+$int"
        "DOTA_Tooltip_modifier_item_ethereal_blade_5_ethereal"            "Ether Blast"
        "DOTA_Tooltip_modifier_item_ethereal_blade_5_ethereal_Description"            "Ethereal Form. Taking %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% increased magic damage and cannot attack or be attacked."
        "DOTA_Tooltip_modifier_item_ethereal_blade_5_slow"            "Ethereal Blade Slow"
        "DOTA_Tooltip_modifier_item_ethereal_blade_5_slow_Description"            "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

        "DOTA_Tooltip_Ability_item_ethereal_blade_6"            "Ethereal Blade 6"
        "DOTA_Tooltip_ability_item_ethereal_blade_6_Description"            "<h1>Active: Ether Blast</h1>Converts the target unit to ethereal form, rendering them immune to physical damage, but unable to attack and %ethereal_damage_bonus%%% more vulnerable to magic damage.  Lasts for %duration_ally% seconds on allies and %duration% seconds on enemies.<br><br>  Enemy targets are also slowed by %blast_movement_slow%%%, and take %blast_agility_multiplier%x your primary attribute + %blast_damage_base% as magical damage.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_ethereal_blade_6_Note0"            "Ethereal units take %ethereal_damage_bonus%%  bonus magic damage."
        "DOTA_Tooltip_ability_item_ethereal_blade_6_Note1"            "Using a Town Portal Scroll or Boots of Travel will not dispel Ethereal Form."
        "DOTA_Tooltip_ability_item_ethereal_blade_6_Lore"            "A flickering blade of a ghastly nature, it is capable of dealing damage in both magical and physical planes."
        "DOTA_Tooltip_ability_item_ethereal_blade_6_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_ethereal_blade_6_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_ethereal_blade_6_bonus_intellect"            "+$int"
        "DOTA_Tooltip_modifier_item_ethereal_blade_6_ethereal"            "Ether Blast"
        "DOTA_Tooltip_modifier_item_ethereal_blade_6_ethereal_Description"            "Ethereal Form. Taking %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% increased magic damage and cannot attack or be attacked."
        "DOTA_Tooltip_modifier_item_ethereal_blade_6_slow"            "Ethereal Blade Slow"
        "DOTA_Tooltip_modifier_item_ethereal_blade_6_slow_Description"            "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

        "DOTA_Tooltip_Ability_item_ethereal_blade_7"            "Ethereal Blade 7"
        "DOTA_Tooltip_ability_item_ethereal_blade_7_Description"            "<h1>Active: Ether Blast</h1>Converts the target unit to ethereal form, rendering them immune to physical damage, but unable to attack and %ethereal_damage_bonus%%% more vulnerable to magic damage.  Lasts for %duration_ally% seconds on allies and %duration% seconds on enemies.<br><br>  Enemy targets are also slowed by %blast_movement_slow%%%, and take %blast_agility_multiplier%x your primary attribute + %blast_damage_base% as magical damage.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_ethereal_blade_7_Note0"            "Ethereal units take %ethereal_damage_bonus%%  bonus magic damage."
        "DOTA_Tooltip_ability_item_ethereal_blade_7_Note1"            "Using a Town Portal Scroll or Boots of Travel will not dispel Ethereal Form."
        "DOTA_Tooltip_ability_item_ethereal_blade_7_Lore"            "A flickering blade of a ghastly nature, it is capable of dealing damage in both magical and physical planes."
        "DOTA_Tooltip_ability_item_ethereal_blade_7_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_ethereal_blade_7_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_ethereal_blade_7_bonus_intellect"            "+$int"
        "DOTA_Tooltip_modifier_item_ethereal_blade_7_ethereal"            "Ether Blast"
