        // -------------------------------------
        // Heaven's Halberd
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_heavens_halberd_2"            "Heaven's Halberd 2"
        "DOTA_Tooltip_ability_item_heavens_halberd_2_Description"            "<h1>Active: Disarm</h1>Prevents a target from attacking for %disarm_melee% seconds on melee targets, and %disarm_ranged% seconds on ranged targets.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_heavens_halberd_2_Lore"            "This halberd moves with the speed of a smaller weapon, allowing the bearer to win duels that a heavy edge would not."
        "DOTA_Tooltip_ability_item_heavens_halberd_2_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_heavens_halberd_2_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_heavens_halberd_2_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_heavens_halberd_2_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff"            "Disarm"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff_Description"            "Disarmed by Heaven's Halberd, cannot attack."

        "DOTA_Tooltip_Ability_item_heavens_halberd_3"            "Heaven's Halberd 3"
        "DOTA_Tooltip_ability_item_heavens_halberd_3_Description"            "<h1>Active: Disarm</h1>Prevents a target from attacking for %disarm_melee% seconds on melee targets, and %disarm_ranged% seconds on ranged targets.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_heavens_halberd_3_Lore"            "This halberd moves with the speed of a smaller weapon, allowing the bearer to win duels that a heavy edge would not."
        "DOTA_Tooltip_ability_item_heavens_halberd_3_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_heavens_halberd_3_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_heavens_halberd_3_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_heavens_halberd_3_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff"            "Disarm"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff_Description"            "Disarmed by Heaven's Halberd, cannot attack."

        "DOTA_Tooltip_Ability_item_heavens_halberd_4"            "Heaven's Halberd 4"
        "DOTA_Tooltip_ability_item_heavens_halberd_4_Description"            "<h1>Active: Disarm</h1>Prevents a target from attacking for %disarm_melee% seconds on melee targets, and %disarm_ranged% seconds on ranged targets.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_heavens_halberd_4_Lore"            "This halberd moves with the speed of a smaller weapon, allowing the bearer to win duels that a heavy edge would not."
        "DOTA_Tooltip_ability_item_heavens_halberd_4_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_heavens_halberd_4_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_heavens_halberd_4_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_heavens_halberd_4_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff"            "Disarm"
