        // -------------------------------------
        // Holy Locket
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_holy_locket_2"            "Holy Locket 2"
        "DOTA_Tooltip_ability_item_holy_locket_2_Description"            "<h1>Active: Energy Charge</h1>Instantly restores %restore_per_charge% health and mana per charge stored. <br><br>Max %max_charges% charges. Gains a charge whenever a visible enemy within %charge_radius% range uses an ability.  \n\n <h1>Passive: Holy Blessing</h1>Amplifies heals you provide by %heal_increase%%%."
        "DOTA_Tooltip_ability_item_holy_locket_2_Lore"            "Insert Lore Here."
        "DOTA_Tooltip_ability_item_holy_locket_2_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_holy_locket_2_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_holy_locket_2_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_holy_locket_2_health_regen"            "+$hp_regen"

        "DOTA_Tooltip_Ability_item_holy_locket_3"            "Holy Locket 3"
        "DOTA_Tooltip_ability_item_holy_locket_3_Description"            "<h1>Active: Energy Charge</h1>Instantly restores %restore_per_charge% health and mana per charge stored. <br><br>Max %max_charges% charges. Gains a charge whenever a visible enemy within %charge_radius% range uses an ability.  \n\n <h1>Passive: Holy Blessing</h1>Amplifies heals you provide by %heal_increase%%%."
        "DOTA_Tooltip_ability_item_holy_locket_3_Lore"            "Insert Lore Here."
        "DOTA_Tooltip_ability_item_holy_locket_3_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_holy_locket_3_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_holy_locket_3_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_holy_locket_3_health_regen"            "+$hp_regen"

        "DOTA_Tooltip_Ability_item_holy_locket_4"            "Holy Locket 4"
        "DOTA_Tooltip_ability_item_holy_locket_4_Description"            "<h1>Active: Energy Charge</h1>Instantly restores %restore_per_charge% health and mana per charge stored. <br><br>Max %max_charges% charges. Gains a charge whenever a visible enemy within %charge_radius% range uses an ability.  \n\n <h1>Passive: Holy Blessing</h1>Amplifies heals you provide by %heal_increase%%%."
        "DOTA_Tooltip_ability_item_holy_locket_4_Lore"            "Insert Lore Here."
        "DOTA_Tooltip_ability_item_holy_locket_4_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_holy_locket_4_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_holy_locket_4_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_holy_locket_4_health_regen"            "+$hp_regen"

        "DOTA_Tooltip_Ability_item_holy_locket_5"            "Holy Locket 5"
