        // -------------------------------------
        // Hurricane Pike
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_hurricane_pike_2"            "Hurricane Pike 2"
        "DOTA_Tooltip_ability_item_hurricane_pike_2_Description"            "<h1>Active: Hurricane Thrust</h1> Pushes you and target enemy %enemy_length% units away from each other, and for %range_duration% seconds, allows you to make %max_attacks% attacks against the target without range restrictions and with +%bonus_attack_speed% attack speed.<br><br>Works like Force Staff when used on self or allies.<br><br>Allied Range: %AbilityCastRange%<br>Enemy Range: %cast_range_enemy%\n<h1>Passive:  Dragon's Reach</h1> Increases attack range of ranged heroes by %base_attack_range%."
        "DOTA_Tooltip_ability_item_hurricane_pike_2_Lore"            "A legendary pike once held as royal sigil of the ancient wyvern riders."
        "DOTA_Tooltip_ability_item_hurricane_pike_2_Note0"            "Self-cast will use Hurricane Pike on yourself."
        "DOTA_Tooltip_ability_item_hurricane_pike_2_Note1"            "Hurricane Pike doesn't interrupt the target's actions."
        "DOTA_Tooltip_ability_item_hurricane_pike_2_Note2"            "Will not work on a unit inside Chronosphere, Duel, or Black Hole."
        "DOTA_Tooltip_ability_item_hurricane_pike_2_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_hurricane_pike_2_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_hurricane_pike_2_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_hurricane_pike_2_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_hurricane_pike_2_active"            "Hurricane Pike 2 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_2_active_Description"            "Being pushed by Hurricane Pike 2."
        "DOTA_Tooltip_modifier_item_hurricane_pike_2_active_alternate"            "Hurricane Pike 2 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_2_active_alternate_Description"            "Being pushed by Hurricane Pike 2."
        "DOTA_Tooltip_modifier_item_hurricane_pike_2_range"            "Hurricane Pike 2 Range"
        "DOTA_Tooltip_modifier_item_hurricane_pike_2_range_Description"            "Can attack the target without range restrictions."

        "DOTA_Tooltip_Ability_item_hurricane_pike_3"            "Hurricane Pike 3"
        "DOTA_Tooltip_ability_item_hurricane_pike_3_Description"            "<h1>Active: Hurricane Thrust</h1> Pushes you and target enemy %enemy_length% units away from each other, and for %range_duration% seconds, allows you to make %max_attacks% attacks against the target without range restrictions and with +%bonus_attack_speed% attack speed.<br><br>Works like Force Staff when used on self or allies.<br><br>Allied Range: %AbilityCastRange%<br>Enemy Range: %cast_range_enemy%\n<h1>Passive:  Dragon's Reach</h1> Increases attack range of ranged heroes by %base_attack_range%."
        "DOTA_Tooltip_ability_item_hurricane_pike_3_Lore"            "A legendary pike once held as royal sigil of the ancient wyvern riders."
        "DOTA_Tooltip_ability_item_hurricane_pike_3_Note0"            "Self-cast will use Hurricane Pike on yourself."
        "DOTA_Tooltip_ability_item_hurricane_pike_3_Note1"            "Hurricane Pike doesn't interrupt the target's actions."
        "DOTA_Tooltip_ability_item_hurricane_pike_3_Note2"            "Will not work on a unit inside Chronosphere, Duel, or Black Hole."
        "DOTA_Tooltip_ability_item_hurricane_pike_3_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_hurricane_pike_3_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_hurricane_pike_3_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_hurricane_pike_3_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_hurricane_pike_3_active"            "Hurricane Pike 3 Push"
