        // -------------------------------------
        // Lotus orb
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_lotus_orb_2"            "Lotus orb 2"
        "DOTA_Tooltip_ability_item_lotus_orb_2_Description"            "<h1>Active: Echo Shell</h1>Applies a shield to the target unit for %active_duration% seconds which re-casts most targeted spells back to their caster.<br><br>The shielded unit will still take damage from the spell. <br><br>Range: %abilitycastrange%<br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_lotus_orb_2_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_lotus_orb_2_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_lotus_orb_2_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_ability_item_lotus_orb_2_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_modifier_item_lotus_orb_2_active"            "Echo Shell 2"
        "DOTA_Tooltip_modifier_item_lotus_orb_2_active_Description"            "Most targeted spells will be re-cast at the caster."

        "DOTA_Tooltip_Ability_item_lotus_orb_3"            "Lotus orb 3"
        "DOTA_Tooltip_ability_item_lotus_orb_3_Description"            "<h1>Active: Echo Shell</h1>Applies a shield to the target unit for %active_duration% seconds which re-casts most targeted spells back to their caster.<br><br>The shielded unit will still take damage from the spell. <br><br>Range: %abilitycastrange%<br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_lotus_orb_3_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_lotus_orb_3_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_lotus_orb_3_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_ability_item_lotus_orb_3_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_modifier_item_lotus_orb_3_active"            "Echo Shell 3"
        "DOTA_Tooltip_modifier_item_lotus_orb_3_active_Description"            "Most targeted spells will be re-cast at the caster."

        "DOTA_Tooltip_Ability_item_lotus_orb_4"            "Lotus orb 4"
        "DOTA_Tooltip_ability_item_lotus_orb_4_Description"            "<h1>Active: Echo Shell</h1>Applies a shield to the target unit for %active_duration% seconds which re-casts most targeted spells back to their caster.<br><br>The shielded unit will still take damage from the spell. <br><br>Range: %abilitycastrange%<br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_lotus_orb_4_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_lotus_orb_4_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_lotus_orb_4_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_ability_item_lotus_orb_4_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_modifier_item_lotus_orb_4_active"            "Echo Shell 4"
        "DOTA_Tooltip_modifier_item_lotus_orb_4_active_Description"            "Most targeted spells will be re-cast at the caster."

        "DOTA_Tooltip_Ability_item_lotus_orb_5"            "Lotus orb 5"
        "DOTA_Tooltip_ability_item_lotus_orb_5_Description"            "<h1>Active: Echo Shell</h1>Applies a shield to the target unit for %active_duration% seconds which re-casts most targeted spells back to their caster.<br><br>The shielded unit will still take damage from the spell. <br><br>Range: %abilitycastrange%<br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_lotus_orb_5_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_lotus_orb_5_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_lotus_orb_5_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_ability_item_lotus_orb_5_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_modifier_item_lotus_orb_5_active"            "Echo Shell 5"
        "DOTA_Tooltip_modifier_item_lotus_orb_5_active_Description"            "Most targeted spells will be re-cast at the caster."

        "DOTA_Tooltip_Ability_item_lotus_orb_6"            "Lotus orb 6"
        "DOTA_Tooltip_ability_item_lotus_orb_6_Description"            "<h1>Active: Echo Shell</h1>Applies a shield to the target unit for %active_duration% seconds which re-casts most targeted spells back to their caster.<br><br>The shielded unit will still take damage from the spell. <br><br>Range: %abilitycastrange%<br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_lotus_orb_6_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_lotus_orb_6_bonus_armor"            "+$armor"
