        // -------------------------------------
        // Manta Style
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_manta_2"            "Manta Style 2"
        "DOTA_Tooltip_ability_item_manta_2_Description"            "<h1>Active: Mirror Image</h1>Creates %images_count% images of your hero that last %tooltip_illusion_duration% seconds. <br><br>Melee images deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while Ranged images deal %tooltip_damage_outgoing_ranged%%% and take %tooltip_damage_incoming_ranged_total_pct%%% damage. <br><br>Cooldown increased by %tooltip_ranged_cooldown_increase% seconds on ranged heroes.<br><br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_manta_2_Note0"            "Has a %invuln_duration% second cast time during which you are invulnerable."
        "DOTA_Tooltip_ability_item_manta_2_Note1"            "Many effects are removed upon using Manta."
        "DOTA_Tooltip_ability_item_manta_2_Note2"            "Yasha based movement speed bonuses from multiple items do not stack."
        "DOTA_Tooltip_ability_item_manta_2_Lore"            "An axe made of reflective materials that causes confusion amongst enemy ranks."
        "DOTA_Tooltip_ability_item_manta_2_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_manta_2_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_manta_2_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_manta_2_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_manta_2_bonus_move_speed"            "+$move_speed"

        "DOTA_Tooltip_Ability_item_manta_3"            "Manta Style 3"
        "DOTA_Tooltip_ability_item_manta_3_Description"            "<h1>Active: Mirror Image</h1>Creates %images_count% images of your hero that last %tooltip_illusion_duration% seconds. <br><br>Melee images deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while Ranged images deal %tooltip_damage_outgoing_ranged%%% and take %tooltip_damage_incoming_ranged_total_pct%%% damage. <br><br>Cooldown increased by %tooltip_ranged_cooldown_increase% seconds on ranged heroes.<br><br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_manta_3_Note0"            "Has a %invuln_duration% second cast time during which you are invulnerable."
        "DOTA_Tooltip_ability_item_manta_3_Note1"            "Many effects are removed upon using Manta."
        "DOTA_Tooltip_ability_item_manta_3_Note2"            "Yasha based movement speed bonuses from multiple items do not stack."
        "DOTA_Tooltip_ability_item_manta_3_Lore"            "An axe made of reflective materials that causes confusion amongst enemy ranks."
        "DOTA_Tooltip_ability_item_manta_3_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_manta_3_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_manta_3_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_manta_3_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_manta_3_bonus_move_speed"            "+$move_speed"

        "DOTA_Tooltip_Ability_item_manta_4"            "Manta Style 4"
        "DOTA_Tooltip_ability_item_manta_4_Description"            "<h1>Active: Mirror Image</h1>Creates %images_count% images of your hero that last %tooltip_illusion_duration% seconds. <br><br>Melee images deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while Ranged images deal %tooltip_damage_outgoing_ranged%%% and take %tooltip_damage_incoming_ranged_total_pct%%% damage. <br><br>Cooldown increased by %tooltip_ranged_cooldown_increase% seconds on ranged heroes.<br><br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_manta_4_Note0"            "Has a %invuln_duration% second cast time during which you are invulnerable."
        "DOTA_Tooltip_ability_item_manta_4_Note1"            "Many effects are removed upon using Manta."
        "DOTA_Tooltip_ability_item_manta_4_Note2"            "Yasha based movement speed bonuses from multiple items do not stack."
        "DOTA_Tooltip_ability_item_manta_4_Lore"            "An axe made of reflective materials that causes confusion amongst enemy ranks."
        "DOTA_Tooltip_ability_item_manta_4_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_manta_4_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_manta_4_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_manta_4_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_manta_4_bonus_move_speed"            "+$move_speed"

        "DOTA_Tooltip_Ability_item_manta_5"            "Manta Style 5"
        "DOTA_Tooltip_ability_item_manta_5_Description"            "<h1>Active: Mirror Image</h1>Creates %images_count% images of your hero that last %tooltip_illusion_duration% seconds. <br><br>Melee images deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while Ranged images deal %tooltip_damage_outgoing_ranged%%% and take %tooltip_damage_incoming_ranged_total_pct%%% damage. <br><br>Cooldown increased by %tooltip_ranged_cooldown_increase% seconds on ranged heroes.<br><br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_manta_5_Note0"            "Has a %invuln_duration% second cast time during which you are invulnerable."
        "DOTA_Tooltip_ability_item_manta_5_Note1"            "Many effects are removed upon using Manta."
        "DOTA_Tooltip_ability_item_manta_5_Note2"            "Yasha based movement speed bonuses from multiple items do not stack."
        "DOTA_Tooltip_ability_item_manta_5_Lore"            "An axe made of reflective materials that causes confusion amongst enemy ranks."
        "DOTA_Tooltip_ability_item_manta_5_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_manta_5_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_manta_5_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_manta_5_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_manta_5_bonus_move_speed"            "+$move_speed"

        "DOTA_Tooltip_Ability_item_manta_6"            "Manta Style 6"
