        // -------------------------------------
        // Octarine Core
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_octarine_core_2"            "Octarine Core 2"
        "DOTA_Tooltip_ability_item_octarine_core_2_Description"            "<h1>Passive: Cooldown Reduction</h1>Reduces the cooldown time of all spells and items by %bonus_cooldown%%%.\n<h1>Passive: Spell Lifesteal</h1>%hero_lifesteal%%% of spell damage dealt to enemy heroes is returned to the caster as health, regardless of spell damage type.  <br><br>Lifesteal reduced to %creep_lifesteal%%% against creeps."
        "DOTA_Tooltip_ability_item_octarine_core_2_Lore"            "At the core of spellcraft are spectrums only the very gifted can sense."
        "DOTA_Tooltip_ability_item_octarine_core_2_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_octarine_core_2_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_octarine_core_2_bonus_intelligence"            "+$int"

        "DOTA_Tooltip_Ability_item_octarine_core_3"            "Octarine Core 3"
        "DOTA_Tooltip_ability_item_octarine_core_3_Description"            "<h1>Passive: Cooldown Reduction</h1>Reduces the cooldown time of all spells and items by %bonus_cooldown%%%.\n<h1>Passive: Spell Lifesteal</h1>%hero_lifesteal%%% of spell damage dealt to enemy heroes is returned to the caster as health, regardless of spell damage type.  <br><br>Lifesteal reduced to %creep_lifesteal%%% against creeps."
        "DOTA_Tooltip_ability_item_octarine_core_3_Lore"            "At the core of spellcraft are spectrums only the very gifted can sense."
        "DOTA_Tooltip_ability_item_octarine_core_3_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_octarine_core_3_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_octarine_core_3_bonus_intelligence"            "+$int"

        "DOTA_Tooltip_Ability_item_octarine_core_4"            "Octarine Core 4"
        "DOTA_Tooltip_ability_item_octarine_core_4_Description"            "<h1>Passive: Cooldown Reduction</h1>Reduces the cooldown time of all spells and items by %bonus_cooldown%%%.\n<h1>Passive: Spell Lifesteal</h1>%hero_lifesteal%%% of spell damage dealt to enemy heroes is returned to the caster as health, regardless of spell damage type.  <br><br>Lifesteal reduced to %creep_lifesteal%%% against creeps."
        "DOTA_Tooltip_ability_item_octarine_core_4_Lore"            "At the core of spellcraft are spectrums only the very gifted can sense."
        "DOTA_Tooltip_ability_item_octarine_core_4_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_octarine_core_4_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_octarine_core_4_bonus_intelligence"            "+$int"

        "DOTA_Tooltip_Ability_item_octarine_core_5"            "Octarine Core 5"
        "DOTA_Tooltip_ability_item_octarine_core_5_Description"            "<h1>Passive: Cooldown Reduction</h1>Reduces the cooldown time of all spells and items by %bonus_cooldown%%%.\n<h1>Passive: Spell Lifesteal</h1>%hero_lifesteal%%% of spell damage dealt to enemy heroes is returned to the caster as health, regardless of spell damage type.  <br><br>Lifesteal reduced to %creep_lifesteal%%% against creeps."
        "DOTA_Tooltip_ability_item_octarine_core_5_Lore"            "At the core of spellcraft are spectrums only the very gifted can sense."
        "DOTA_Tooltip_ability_item_octarine_core_5_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_octarine_core_5_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_octarine_core_5_bonus_intelligence"            "+$int"

        "DOTA_Tooltip_Ability_item_octarine_core_6"            "Octarine Core 6"
        "DOTA_Tooltip_ability_item_octarine_core_6_Description"            "<h1>Passive: Cooldown Reduction</h1>Reduces the cooldown time of all spells and items by %bonus_cooldown%%%.\n<h1>Passive: Spell Lifesteal</h1>%hero_lifesteal%%% of spell damage dealt to enemy heroes is returned to the caster as health, regardless of spell damage type.  <br><br>Lifesteal reduced to %creep_lifesteal%%% against creeps."
        "DOTA_Tooltip_ability_item_octarine_core_6_Lore"            "At the core of spellcraft are spectrums only the very gifted can sense."
        "DOTA_Tooltip_ability_item_octarine_core_6_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_octarine_core_6_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_octarine_core_6_bonus_intelligence"            "+$int"

        "DOTA_Tooltip_Ability_item_octarine_core_7"            "Octarine Core 7"
        "DOTA_Tooltip_ability_item_octarine_core_7_Description"            "<h1>Passive: Cooldown Reduction</h1>Reduces the cooldown time of all spells and items by %bonus_cooldown%%%.\n<h1>Passive: Spell Lifesteal</h1>%hero_lifesteal%%% of spell damage dealt to enemy heroes is returned to the caster as health, regardless of spell damage type.  <br><br>Lifesteal reduced to %creep_lifesteal%%% against creeps."
        "DOTA_Tooltip_ability_item_octarine_core_7_Lore"            "At the core of spellcraft are spectrums only the very gifted can sense."
        "DOTA_Tooltip_ability_item_octarine_core_7_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_octarine_core_7_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_octarine_core_7_bonus_intelligence"            "+$int"

        "DOTA_Tooltip_Ability_item_octarine_core_8"            "Octarine Core 8"
