        // -------------------------------------
        // Power Treads
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_power_treads_2"            "Power Treads 2"
        "DOTA_Tooltip_ability_item_power_treads_2_Description"            "<h1>Active: Switch Attribute</h1>Switches between +%bonus_stat% Strength, +%bonus_stat% Agility, or +%bonus_stat% Intelligence.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_power_treads_2_Lore"            "A pair of tough-skinned boots that change to meet the demands of the wearer."
        "DOTA_Tooltip_ability_item_power_treads_2_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_power_treads_2_bonus_movement_speed"            "%+$move_speed"
        "DOTA_Tooltip_ability_item_power_treads_2_bonus_stat"            "+$selected_attrib"

        "DOTA_Tooltip_Ability_item_power_treads_3"            "Power Treads 3"
        "DOTA_Tooltip_ability_item_power_treads_3_Description"            "<h1>Active: Switch Attribute</h1>Switches between +%bonus_stat% Strength, +%bonus_stat% Agility, or +%bonus_stat% Intelligence.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_power_treads_3_Lore"            "A pair of tough-skinned boots that change to meet the demands of the wearer."
        "DOTA_Tooltip_ability_item_power_treads_3_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_power_treads_3_bonus_movement_speed"            "%+$move_speed"
        "DOTA_Tooltip_ability_item_power_treads_3_bonus_stat"            "+$selected_attrib"

        "DOTA_Tooltip_Ability_item_power_treads_4"            "Power Treads 4"
        "DOTA_Tooltip_ability_item_power_treads_4_Description"            "<h1>Active: Switch Attribute</h1>Switches between +%bonus_stat% Strength, +%bonus_stat% Agility, or +%bonus_stat% Intelligence.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_power_treads_4_Lore"            "A pair of tough-skinned boots that change to meet the demands of the wearer."
        "DOTA_Tooltip_ability_item_power_treads_4_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_power_treads_4_bonus_movement_speed"            "%+$move_speed"
        "DOTA_Tooltip_ability_item_power_treads_4_bonus_stat"            "+$selected_attrib"

        "DOTA_Tooltip_Ability_item_power_treads_5"            "Power Treads 5"
        "DOTA_Tooltip_ability_item_power_treads_5_Description"            "<h1>Active: Switch Attribute</h1>Switches between +%bonus_stat% Strength, +%bonus_stat% Agility, or +%bonus_stat% Intelligence.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_power_treads_5_Lore"            "A pair of tough-skinned boots that change to meet the demands of the wearer."
        "DOTA_Tooltip_ability_item_power_treads_5_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_power_treads_5_bonus_movement_speed"            "%+$move_speed"
        "DOTA_Tooltip_ability_item_power_treads_5_bonus_stat"            "+$selected_attrib"

        "DOTA_Tooltip_Ability_item_power_treads_6"            "Power Treads 6"
        "DOTA_Tooltip_ability_item_power_treads_6_Description"            "<h1>Active: Switch Attribute</h1>Switches between +%bonus_stat% Strength, +%bonus_stat% Agility, or +%bonus_stat% Intelligence.\nMovement speed bonuses from multiple pairs of boots do not stack."
