        // -------------------------------------
        // Divine Rapier
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_rapier_2"            "Divine Rapier 2"
        "DOTA_Tooltip_ability_item_rapier_2_Description"            "<h1>Passive: Everlasting</h1> <font color='#e03e2e'>Dropped on death, and cannot be destroyed.</font> <br><br>Becomes unusable if picked up by an ally of its owner until it is returned to its owner. It is immediately usable by anybody if an enemy of the owner picks it up and is killed. A dropped Rapier cannot be picked up by a courier.\n<h1>Passive: True Strike</h1> Your attacks cannot miss."
        "DOTA_Tooltip_ability_item_rapier_2_Note0"            "If Divine Rapier is dropped and picked up by an enemy of its original owner, it cannot be dropped again except by death."
        "DOTA_Tooltip_ability_item_rapier_2_Lore"            "So powerful, it cannot have a single owner."
        "DOTA_Tooltip_ability_item_rapier_2_bonus_damage"            "+$damage"

        "DOTA_Tooltip_Ability_item_rapier_3"            "Divine Rapier 3"
        "DOTA_Tooltip_ability_item_rapier_3_Description"            "<h1>Passive: Everlasting</h1> <font color='#e03e2e'>Dropped on death, and cannot be destroyed.</font> <br><br>Becomes unusable if picked up by an ally of its owner until it is returned to its owner. It is immediately usable by anybody if an enemy of the owner picks it up and is killed. A dropped Rapier cannot be picked up by a courier.\n<h1>Passive: True Strike</h1> Your attacks cannot miss."
        "DOTA_Tooltip_ability_item_rapier_3_Note0"            "If Divine Rapier is dropped and picked up by an enemy of its original owner, it cannot be dropped again except by death."
        "DOTA_Tooltip_ability_item_rapier_3_Lore"            "So powerful, it cannot have a single owner."
        "DOTA_Tooltip_ability_item_rapier_3_bonus_damage"            "+$damage"

        "DOTA_Tooltip_Ability_item_rapier_4"            "Divine Rapier 4"
