        // -------------------------------------
        // Satanic
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_satanic_2"            "Satanic 2"
        "DOTA_Tooltip_ability_item_satanic_2_Description"            "<h1>Active: Unholy Rage</h1>Increases Lifesteal percentage to %unholy_lifesteal_total_tooltip%%% for %unholy_duration% seconds. \n<h1>Passive: Lifesteal</h1>Heals the attacker for %lifesteal_percent%%% of attack damage dealt."
        "DOTA_Tooltip_ability_item_satanic_2_Lore"            "Immense power at the cost of your soul."
        "DOTA_Tooltip_ability_item_satanic_2_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_satanic_2_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_satanic_2_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_modifier_item_satanic_2_unholy"            "Unholy Rage"
        "DOTA_Tooltip_modifier_item_satanic_2_unholy_Description"            "Lifesteal increased."

        "DOTA_Tooltip_Ability_item_satanic_3"            "Satanic 3"
        "DOTA_Tooltip_ability_item_satanic_3_Description"            "<h1>Active: Unholy Rage</h1>Increases Lifesteal percentage to %unholy_lifesteal_total_tooltip%%% for %unholy_duration% seconds. \n<h1>Passive: Lifesteal</h1>Heals the attacker for %lifesteal_percent%%% of attack damage dealt."
        "DOTA_Tooltip_ability_item_satanic_3_Lore"            "Immense power at the cost of your soul."
        "DOTA_Tooltip_ability_item_satanic_3_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_satanic_3_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_satanic_3_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_modifier_item_satanic_3_unholy"            "Unholy Rage"
        "DOTA_Tooltip_modifier_item_satanic_3_unholy_Description"            "Lifesteal increased."

        "DOTA_Tooltip_Ability_item_satanic_4"            "Satanic 4"
        "DOTA_Tooltip_ability_item_satanic_4_Description"            "<h1>Active: Unholy Rage</h1>Increases Lifesteal percentage to %unholy_lifesteal_total_tooltip%%% for %unholy_duration% seconds. \n<h1>Passive: Lifesteal</h1>Heals the attacker for %lifesteal_percent%%% of attack damage dealt."
        "DOTA_Tooltip_ability_item_satanic_4_Lore"            "Immense power at the cost of your soul."
