        // -------------------------------------
        // Silver Edge
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_silver_edge_2"            "Silver Edge 2"
        "DOTA_Tooltip_ability_item_silver_edge_2_Description"            "<h1>Active: Shadow Walk</h1>Makes you invisible for %windwalk_duration% seconds, or until you attack or cast a spell.  While invisible, you move %windwalk_movement_speed%%% faster and can move through units.  <br><br>Attacking to end the invisibility will deal %windwalk_bonus_damage% bonus physical damage to the target, and for %backstab_duration% seconds, disable their passive abilities."
        "DOTA_Tooltip_ability_item_silver_edge_2_Note0"            "Backstab cannot miss."
        "DOTA_Tooltip_ability_item_silver_edge_2_Note1"            "Backstab does not pierce spell immunity."
        "DOTA_Tooltip_ability_item_silver_edge_2_Lore"            "Once used to slay an unjust king, only to have the kingdom erupt into civil war in the aftermath."
        "DOTA_Tooltip_ability_item_silver_edge_2_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_silver_edge_2_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_silver_edge_2_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_modifier_item_silver_edge_2_windwalk"            "Shadow Walk"
        "DOTA_Tooltip_modifier_item_silver_edge_2_windwalk_Description"            "Invisible. Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and you can move through units. Attacking to break invisibility will deal %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage, slow the target and disable their passives."

        "DOTA_Tooltip_Ability_item_silver_edge_3"            "Silver Edge 3"
        "DOTA_Tooltip_ability_item_silver_edge_3_Description"            "<h1>Active: Shadow Walk</h1>Makes you invisible for %windwalk_duration% seconds, or until you attack or cast a spell.  While invisible, you move %windwalk_movement_speed%%% faster and can move through units.  <br><br>Attacking to end the invisibility will deal %windwalk_bonus_damage% bonus physical damage to the target, and for %backstab_duration% seconds, disable their passive abilities."
        "DOTA_Tooltip_ability_item_silver_edge_3_Note0"            "Backstab cannot miss."
        "DOTA_Tooltip_ability_item_silver_edge_3_Note1"            "Backstab does not pierce spell immunity."
        "DOTA_Tooltip_ability_item_silver_edge_3_Lore"            "Once used to slay an unjust king, only to have the kingdom erupt into civil war in the aftermath."
        "DOTA_Tooltip_ability_item_silver_edge_3_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_silver_edge_3_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_silver_edge_3_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_modifier_item_silver_edge_3_windwalk"            "Shadow Walk"
        "DOTA_Tooltip_modifier_item_silver_edge_3_windwalk_Description"            "Invisible. Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and you can move through units. Attacking to break invisibility will deal %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage, slow the target and disable their passives."

        "DOTA_Tooltip_Ability_item_silver_edge_4"            "Silver Edge 4"
