        // -------------------------------------
        // Spider Legs
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_spider_legs_2"            "Spider Legs 2"
        "DOTA_Tooltip_ability_item_spider_legs_2_Description"            "<h1>Active: Scurry</h1> Grants you %bonus_movement_speed_active%% bonus movement speed and free pathing for %duration% seconds. Walking over trees causes them to be destroyed.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_spider_legs_2_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spider_legs_2_active"            "Scurry"
        "DOTA_Tooltip_modifier_item_spider_legs_2_active_Description"            "Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% and has free pathing."
        "DOTA_Tooltip_ability_item_spider_legs_2_turn_rate"            "+Turn Rate"

        "DOTA_Tooltip_Ability_item_spider_legs_3"            "Spider Legs 3"
        "DOTA_Tooltip_ability_item_spider_legs_3_Description"            "<h1>Active: Scurry</h1> Grants you %bonus_movement_speed_active%% bonus movement speed and free pathing for %duration% seconds. Walking over trees causes them to be destroyed.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_spider_legs_3_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spider_legs_3_active"            "Scurry"
        "DOTA_Tooltip_modifier_item_spider_legs_3_active_Description"            "Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% and has free pathing."
        "DOTA_Tooltip_ability_item_spider_legs_3_turn_rate"            "+Turn Rate"

        "DOTA_Tooltip_Ability_item_spider_legs_4"            "Spider Legs 4"
        "DOTA_Tooltip_ability_item_spider_legs_4_Description"            "<h1>Active: Scurry</h1> Grants you %bonus_movement_speed_active%% bonus movement speed and free pathing for %duration% seconds. Walking over trees causes them to be destroyed.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_spider_legs_4_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spider_legs_4_active"            "Scurry"
        "DOTA_Tooltip_modifier_item_spider_legs_4_active_Description"            "Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% and has free pathing."
        "DOTA_Tooltip_ability_item_spider_legs_4_turn_rate"            "+Turn Rate"

        "DOTA_Tooltip_Ability_item_spider_legs_5"            "Spider Legs 5"
        "DOTA_Tooltip_ability_item_spider_legs_5_Description"            "<h1>Active: Scurry</h1> Grants you %bonus_movement_speed_active%% bonus movement speed and free pathing for %duration% seconds. Walking over trees causes them to be destroyed.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_spider_legs_5_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spider_legs_5_active"            "Scurry"
        "DOTA_Tooltip_modifier_item_spider_legs_5_active_Description"            "Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% and has free pathing."
        "DOTA_Tooltip_ability_item_spider_legs_5_turn_rate"            "+Turn Rate"

        "DOTA_Tooltip_Ability_item_spider_legs_6"            "Spider Legs 6"
        "DOTA_Tooltip_ability_item_spider_legs_6_Description"            "<h1>Active: Scurry</h1> Grants you %bonus_movement_speed_active%% bonus movement speed and free pathing for %duration% seconds. Walking over trees causes them to be destroyed.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_spider_legs_6_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spider_legs_6_active"            "Scurry"
        "DOTA_Tooltip_modifier_item_spider_legs_6_active_Description"            "Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% and has free pathing."
        "DOTA_Tooltip_ability_item_spider_legs_6_turn_rate"            "+Turn Rate"

        "DOTA_Tooltip_Ability_item_spider_legs_7"            "Spider Legs 7"
        "DOTA_Tooltip_ability_item_spider_legs_7_Description"            "<h1>Active: Scurry</h1> Grants you %bonus_movement_speed_active%% bonus movement speed and free pathing for %duration% seconds. Walking over trees causes them to be destroyed.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_spider_legs_7_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spider_legs_7_active"            "Scurry"
        "DOTA_Tooltip_modifier_item_spider_legs_7_active_Description"            "Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% and has free pathing."
        "DOTA_Tooltip_ability_item_spider_legs_7_turn_rate"            "+Turn Rate"

        "DOTA_Tooltip_Ability_item_spider_legs_8"            "Spider Legs 8"
        "DOTA_Tooltip_ability_item_spider_legs_8_Description"            "<h1>Active: Scurry</h1> Grants you %bonus_movement_speed_active%% bonus movement speed and free pathing for %duration% seconds. Walking over trees causes them to be destroyed.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_spider_legs_8_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spider_legs_8_active"            "Scurry"
        "DOTA_Tooltip_modifier_item_spider_legs_8_active_Description"            "Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% and has free pathing."
        "DOTA_Tooltip_ability_item_spider_legs_8_turn_rate"            "+Turn Rate"

