        // -------------------------------------
        // Spirit Vessel
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_spirit_vessel_2"            "Spirit Vessel 2"
        "DOTA_Tooltip_ability_item_spirit_vessel_2_Description"            "<h1>Active: Soul Release</h1> When used against enemies, it reduces health by %enemy_hp_drain%%% of current health per second, and reduces HP regeneration and healing by %hp_regen_reduction_enemy%%%. Deals %soul_damage_amount% damage per second. <br><br>When used on allies, it provides %soul_heal_amount% health regeneration per second. <br><br>Lasts %duration% seconds.  <br><br>Gains charges every time an enemy hero dies within %soul_radius% units.  Only the closest Spirit Vessel to the dying hero will gain a charge.<br><br>Cast Range: %abilitycastrange%"
        "DOTA_Tooltip_ability_item_spirit_vessel_2_Lore"            "Forged by a god to entrap the soul of another."
        "DOTA_Tooltip_ability_item_spirit_vessel_2_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_spirit_vessel_2_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_spirit_vessel_2_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_spirit_vessel_2_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_spirit_vessel_2_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spirit_vessel_2_heal"            "Spirit Vessel 2 Heal"
        "DOTA_Tooltip_modifier_item_spirit_vessel_2_heal_Description"            "Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."
        "DOTA_Tooltip_modifier_item_spirit_vessel_2_damage"            "Spirit Vessel 2 Damage"
        "DOTA_Tooltip_modifier_item_spirit_vessel_2_damage_Description"            "Losing %dMODIFIER_PROPERTY_TOOLTIP% HP plus %dMODIFIER_PROPERTY_TOOLTIP%%% of current health per second. All heals reduced by %dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%%."
        "DOTA_Tooltip_ability_item_spirit_vessel_2_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_spirit_vessel_3"            "Spirit Vessel 3"
        "DOTA_Tooltip_ability_item_spirit_vessel_3_Description"            "<h1>Active: Soul Release</h1> When used against enemies, it reduces health by %enemy_hp_drain%%% of current health per second, and reduces HP regeneration and healing by %hp_regen_reduction_enemy%%%. Deals %soul_damage_amount% damage per second. <br><br>When used on allies, it provides %soul_heal_amount% health regeneration per second. <br><br>Lasts %duration% seconds.  <br><br>Gains charges every time an enemy hero dies within %soul_radius% units.  Only the closest Spirit Vessel to the dying hero will gain a charge.<br><br>Cast Range: %abilitycastrange%"
        "DOTA_Tooltip_ability_item_spirit_vessel_3_Lore"            "Forged by a god to entrap the soul of another."
        "DOTA_Tooltip_ability_item_spirit_vessel_3_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_spirit_vessel_3_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_spirit_vessel_3_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_spirit_vessel_3_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_spirit_vessel_3_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spirit_vessel_3_heal"            "Spirit Vessel 3 Heal"
        "DOTA_Tooltip_modifier_item_spirit_vessel_3_heal_Description"            "Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."
        "DOTA_Tooltip_modifier_item_spirit_vessel_3_damage"            "Spirit Vessel 3 Damage"
        "DOTA_Tooltip_modifier_item_spirit_vessel_3_damage_Description"            "Losing %dMODIFIER_PROPERTY_TOOLTIP% HP plus %dMODIFIER_PROPERTY_TOOLTIP%%% of current health per second. All heals reduced by %dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%%."
        "DOTA_Tooltip_ability_item_spirit_vessel_3_mana_regen"            "+$mana_regen"

