        // -------------------------------------
        // Trident
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_trident_2"            "Trident 2"
        "DOTA_Tooltip_ability_item_trident_2_Description"            "<h1>Passive: %bonus_strength%</h1> Everything is %bonus_agility%! \n Except manacost reduction, it's a loser."
        "DOTA_Tooltip_ability_item_trident_2_Note0"            "%bonus_strength%."
        "DOTA_Tooltip_ability_item_trident_2_Lore"            "A treasure from the Deep Seas, uniformly increasing the user's combat proficiency."
        "DOTA_Tooltip_ability_item_trident_2_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_trident_2_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_trident_2_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_trident_2_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_ability_item_trident_2_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_trident_2_movement_speed_percent_bonus"            "+$move_speed"
        "DOTA_Tooltip_ability_item_trident_2_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_trident_2_spell_amp"            "%+Spell Amplification"
        "DOTA_Tooltip_ability_item_trident_2_manacost_reduction"            "%+Manacost and Manaloss Reduction"

        "DOTA_Tooltip_Ability_item_trident_3"            "Trident 3"
        "DOTA_Tooltip_ability_item_trident_3_Description"            "<h1>Passive: %bonus_strength%</h1> Everything is %bonus_agility%! \n Except manacost reduction, it's a loser."
        "DOTA_Tooltip_ability_item_trident_3_Note0"            "%bonus_strength%."
        "DOTA_Tooltip_ability_item_trident_3_Lore"            "A treasure from the Deep Seas, uniformly increasing the user's combat proficiency."
        "DOTA_Tooltip_ability_item_trident_3_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_trident_3_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_trident_3_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_trident_3_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_ability_item_trident_3_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_trident_3_movement_speed_percent_bonus"            "+$move_speed"
        "DOTA_Tooltip_ability_item_trident_3_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_trident_3_spell_amp"            "%+Spell Amplification"
        "DOTA_Tooltip_ability_item_trident_3_manacost_reduction"            "%+Manacost and Manaloss Reduction"

        "DOTA_Tooltip_Ability_item_trident_4"            "Trident 4"
        "DOTA_Tooltip_ability_item_trident_4_Description"            "<h1>Passive: %bonus_strength%</h1> Everything is %bonus_agility%! \n Except manacost reduction, it's a loser."
        "DOTA_Tooltip_ability_item_trident_4_Note0"            "%bonus_strength%."
        "DOTA_Tooltip_ability_item_trident_4_Lore"            "A treasure from the Deep Seas, uniformly increasing the user's combat proficiency."
        "DOTA_Tooltip_ability_item_trident_4_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_trident_4_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_trident_4_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_trident_4_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_ability_item_trident_4_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_trident_4_movement_speed_percent_bonus"            "+$move_speed"
        "DOTA_Tooltip_ability_item_trident_4_status_resistance"            "%+Status Resistance"
