        // -------------------------------------
        // Vladmir's Offering
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_vladmir_2"            "Vladmir's Offering 2"
        "DOTA_Tooltip_ability_item_vladmir_2_Description"            "<h1>Passive: Vladmir's Aura</h1>Grants %vampiric_aura%%% lifesteal, %mana_regen_aura% mana regeneration, and %armor_aura% armor to nearby allies. <br><br>Radius: %aura_radius%"
        "DOTA_Tooltip_ability_item_vladmir_2_Lore"            "An eerie mask that is haunted with the malice of a fallen vampire."
        "DOTA_Tooltip_ability_item_vladmir_2_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_modifier_item_vladmir_2_aura"            "Vladmir's Aura 2"
        "DOTA_Tooltip_modifier_item_vladmir_2_aura_Description"            "Gaining %dMODIFIER_PROPERTY_TOOLTIP%%% lifesteal, as well as %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regen, and %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor."

        "DOTA_Tooltip_Ability_item_vladmir_3"            "Vladmir's Offering 3"
        "DOTA_Tooltip_ability_item_vladmir_3_Description"            "<h1>Passive: Vladmir's Aura</h1>Grants %vampiric_aura%%% lifesteal, %mana_regen_aura% mana regeneration, and %armor_aura% armor to nearby allies. <br><br>Radius: %aura_radius%"
        "DOTA_Tooltip_ability_item_vladmir_3_Lore"            "An eerie mask that is haunted with the malice of a fallen vampire."
        "DOTA_Tooltip_ability_item_vladmir_3_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_modifier_item_vladmir_3_aura"            "Vladmir's Aura 3"
        "DOTA_Tooltip_modifier_item_vladmir_3_aura_Description"            "Gaining %dMODIFIER_PROPERTY_TOOLTIP%%% lifesteal, as well as %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regen, and %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor."

        "DOTA_Tooltip_Ability_item_vladmir_4"            "Vladmir's Offering 4"
        "DOTA_Tooltip_ability_item_vladmir_4_Description"            "<h1>Passive: Vladmir's Aura</h1>Grants %vampiric_aura%%% lifesteal, %mana_regen_aura% mana regeneration, and %armor_aura% armor to nearby allies. <br><br>Radius: %aura_radius%"
        "DOTA_Tooltip_ability_item_vladmir_4_Lore"            "An eerie mask that is haunted with the malice of a fallen vampire."
        "DOTA_Tooltip_ability_item_vladmir_4_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_modifier_item_vladmir_4_aura"            "Vladmir's Aura 4"
        "DOTA_Tooltip_modifier_item_vladmir_4_aura_Description"            "Gaining %dMODIFIER_PROPERTY_TOOLTIP%%% lifesteal, as well as %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regen, and %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor."

        "DOTA_Tooltip_Ability_item_vladmir_5"            "Vladmir's Offering 5"
        "DOTA_Tooltip_ability_item_vladmir_5_Description"            "<h1>Passive: Vladmir's Aura</h1>Grants %vampiric_aura%%% lifesteal, %mana_regen_aura% mana regeneration, and %armor_aura% armor to nearby allies. <br><br>Radius: %aura_radius%"
        "DOTA_Tooltip_ability_item_vladmir_5_Lore"            "An eerie mask that is haunted with the malice of a fallen vampire."
        "DOTA_Tooltip_ability_item_vladmir_5_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_modifier_item_vladmir_5_aura"            "Vladmir's Aura 5"
        "DOTA_Tooltip_modifier_item_vladmir_5_aura_Description"            "Gaining %dMODIFIER_PROPERTY_TOOLTIP%%% lifesteal, as well as %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regen, and %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor."

        "DOTA_Tooltip_Ability_item_vladmir_6"            "Vladmir's Offering 6"
        "DOTA_Tooltip_ability_item_vladmir_6_Description"            "<h1>Passive: Vladmir's Aura</h1>Grants %vampiric_aura%%% lifesteal, %mana_regen_aura% mana regeneration, and %armor_aura% armor to nearby allies. <br><br>Radius: %aura_radius%"
        "DOTA_Tooltip_ability_item_vladmir_6_Lore"            "An eerie mask that is haunted with the malice of a fallen vampire."
        "DOTA_Tooltip_ability_item_vladmir_6_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_modifier_item_vladmir_6_aura"            "Vladmir's Aura 6"
        "DOTA_Tooltip_modifier_item_vladmir_6_aura_Description"            "Gaining %dMODIFIER_PROPERTY_TOOLTIP%%% lifesteal, as well as %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regen, and %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor."

        "DOTA_Tooltip_Ability_item_vladmir_7"            "Vladmir's Offering 7"
        "DOTA_Tooltip_ability_item_vladmir_7_Description"            "<h1>Passive: Vladmir's Aura</h1>Grants %vampiric_aura%%% lifesteal, %mana_regen_aura% mana regeneration, and %armor_aura% armor to nearby allies. <br><br>Radius: %aura_radius%"
        "DOTA_Tooltip_ability_item_vladmir_7_Lore"            "An eerie mask that is haunted with the malice of a fallen vampire."
        "DOTA_Tooltip_ability_item_vladmir_7_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_modifier_item_vladmir_7_aura"            "Vladmir's Aura 7"
        "DOTA_Tooltip_modifier_item_vladmir_7_aura_Description"            "Gaining %dMODIFIER_PROPERTY_TOOLTIP%%% lifesteal, as well as %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regen, and %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor."

        "DOTA_Tooltip_Ability_item_vladmir_8"            "Vladmir's Offering 8"
        "DOTA_Tooltip_ability_item_vladmir_8_Description"            "<h1>Passive: Vladmir's Aura</h1>Grants %vampiric_aura%%% lifesteal, %mana_regen_aura% mana regeneration, and %armor_aura% armor to nearby allies. <br><br>Radius: %aura_radius%"
        "DOTA_Tooltip_ability_item_vladmir_8_Lore"            "An eerie mask that is haunted with the malice of a fallen vampire."
        "DOTA_Tooltip_ability_item_vladmir_8_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_modifier_item_vladmir_8_aura"            "Vladmir's Aura 8"
        "DOTA_Tooltip_modifier_item_vladmir_8_aura_Description"            "Gaining %dMODIFIER_PROPERTY_TOOLTIP%%% lifesteal, as well as %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regen, and %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor."

        "DOTA_Tooltip_Ability_item_vladmir_9"            "Vladmir's Offering 9"
        "DOTA_Tooltip_ability_item_vladmir_9_Description"            "<h1>Passive: Vladmir's Aura</h1>Grants %vampiric_aura%%% lifesteal, %mana_regen_aura% mana regeneration, and %armor_aura% armor to nearby allies. <br><br>Radius: %aura_radius%"
        "DOTA_Tooltip_ability_item_vladmir_9_Lore"            "An eerie mask that is haunted with the malice of a fallen vampire."
        "DOTA_Tooltip_ability_item_vladmir_9_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_modifier_item_vladmir_9_aura"            "Vladmir's Aura 9"
        "DOTA_Tooltip_modifier_item_vladmir_9_aura_Description"            "Gaining %dMODIFIER_PROPERTY_TOOLTIP%%% lifesteal, as well as %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regen, and %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor."

        "DOTA_Tooltip_Ability_item_vladmir_10"            "Vladmir's Offering 10"
        "DOTA_Tooltip_ability_item_vladmir_10_Description"            "<h1>Passive: Vladmir's Aura</h1>Grants %vampiric_aura%%% lifesteal, %mana_regen_aura% mana regeneration, and %armor_aura% armor to nearby allies. <br><br>Radius: %aura_radius%"
        "DOTA_Tooltip_ability_item_vladmir_10_Lore"            "An eerie mask that is haunted with the malice of a fallen vampire."
        "DOTA_Tooltip_ability_item_vladmir_10_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_modifier_item_vladmir_10_aura"            "Vladmir's Aura 10"
